name,streetaddress,city,zipcode,county
"Savannah Medical Clinic","803 Highway 71 West",Savannah,64485,"Andrew "
"Savannah R-III School District","408 West Market",Savannah,64485,"Andrew "
"School District of Clayton","2 Mark Twain Circle",Clayton,63105,"St. Louis "
"School District of University City","6761 Bartmer Avenue","University City",63130,"St. Louis "
"School District of Washington","220 Locust Street",Washington,63090,"Franklin "
"School of the Osage","1501 School Road","Lake Ozark",65049,"Camden "
"Schreier Family Medicine LLC","1006 North Jesse James Road Suite 1","Excelsior Springs",64024,"Clay "
"Score for Health","1750 Independence Avenue","Kansas City",64106,"Jackson "
"Scotland County Health Department","214 West Madison",Memphis,63555,"Scotland "
"Scotland County Hospital","450 East Sigler Avenue",Memphis,63555,"Scotland "
"Scott City R-I School District","3000 Main Street","Scott City",63780,"Scott "
"Scott County R-IV School District","20794 U.S. Highway 61",Sikeston,63801,"Scott "
"Scuola Vita Nuova Charter School","535 Garfield Avenue","Kansas City ",64124,"Jackson "
"Seasons Hospice & Palliative Care","3660 South Geyer Road Suite 120","St. Louis",63127,"St. Louis "
"Seasons/Crown Hospice","1831 West Melville Road",Springfield,65803,"Greene "
"Sedalia School District 200","2806 Matthew Drive",Sedalia,65301,"Pettis "
"Select Physical Therapy","1431 Southwest Boulevard Suite 314","Jefferson City",65109,"Cole "
"SEMO Health Network - Benton","6724 Highway 77 East",Benton,63736,"Scott "
"SEMO Health Network - Bernie","741 South Walnut",Bernie,63822,"Stoddard "
"SEMO Health Network - Caruthersville","109 East 5th Street ",Caruthersville,63830,"Pemiscot "
"SEMO Health Network - Kennett","500 Russell Street",Kennett,63857,"Dunklin "
"SEMO Health Network - New Madrid","421 SEMO Drive","New Madrid",63869,"New Madrid "
"SEMO Health Network - School Based Health Clinic","920 Kennett Street",Kennett,63857,"Dunklin "
"SEMO Health Network - Sikeston","200 Southland Drive",Sikeston,63801,"Scott "
"SEMO State University Autism Center","611 North Fountain Street","Cape Girardeau",63701,"Cape Girardeau "
"Senath-Hornersville School District","802 South State Street",Senath,63876,"Dunklin "
"Seneca R-VII School District","914 Frisco Street",Seneca,64865,"Newton "
"Senior Life Solutions","1407 North Jefferson",Carrollton,64633,"Carroll "
"Serenity HospiceCare","5272 Flat River Road","Park Hills",63601,"St. Francois "
"Seymour R-II School District","416 East Clinton",Seymour,65746,"Webster "
"Shady Grove School for the Severely Disabled","2400 High Street","Poplar Bluff",63901,"Butler "
"Shalom House Inc.","1040 South Taylor Avenue","St. Louis",63110,"St. Louis "
"Shannon County Family Clinic","17959 Main St",Eminence,65466,"Shannon "
"Shelby County Health Department","700 East Main",Shelbyville,63469,"Shelby "
"Shelby County R-IV School District","4154 Highway 36",Shelbina,63468,"Shelby "
"Sherwood Cass R-VIII School District","33300 South Sherwood Drive",Creighton,64739,"Cass "
"Signature Allergy & Immunology","555 North New Ballas Road Suite 215","St. Louis",63141,"St. Louis "
"Sikeston Dental","220 Southland Drive",Sikeston,63801,"Scott "
"Sikeston Medical","200 Southland Drive",Sikeston,63801,"Scott "
"Sikeston R-VI School District","600 Pine Street",Sikeston,63801,"Scott "
"Silver Arrow Strategies","3726 Old Hopper Road","Cape Girardeau",63701,"Cape Girardeau "
Skillset,"1212 Satinwood Drive","Jefferson City",65109,"Cole "
"SLUCare Physicians Group - Bellevue Avenue","1031 Bellevue Avenue Suite 400","St. Louis",63117,"St. Louis "
"SLUCare Physicians Group - Dougherty Ferry Road","2315 Dougherty Ferry Road Suite 205","St. Louis",63122,"St. Louis "
"SLUCare Physicians Group - Vista Avenue","3660 Vista Avenue Suite 206 & 207","St. Louis",63110,"St. Louis "
"SMART Learning Center","P.O. Box 270524","Kansas City",64127,"Jackson "
"Smithton R-VI School District","505 South Myrtle Avenue",Smithton,65350,"Pettis "
"Smithville R-II School District - Maple Elementary","600 Maple Avenue",Smithville,64089,"Clay "
"Smithville R-II School District - Middle School","675 South Commercial Avenue",Smithville,64089,"Clay "
"Social Welfare Board (HEALTH)","904 South 10th Street Suite A","St. Joseph",64503,"Buchanan "
"Soerries Coding & Billing Institute","1412 Southwest Eagles Parkway","Grain Valley",64029,"Washington "
"SOS Counseling","400 East Red Bridge 304","Kansas City",64131,"Jackson "
"South Callaway R-II School District","10135 State Road C",Mokane,65059,"Callaway "
"South Central Missouri Community Action Agency","#1 Old Alton Road",Winona,65588,"Shannon "
"South County Anesthesia Associates","339 Consort Drive",Ballwin,63011,"St. Louis "
"South County Health Center","4580 South Lindbergh Boulevard","St. Louis",63127,"St. Louis "
"South Harrison R-II School District","3400 Bulldog Avenue",Bethany,64424,"Harrison "
"South Holt R-I School District","201 South Barbour",Oregon,64473,"Holt "
"South Iron R-I School District","210 School Street",Annapolis,63620,"Iron "
"South Nodaway R-IV School District","209 South Morehouse ",Barnard,64423,"Nodaway "
"South Pavilion - UMC Child Health Department","400 Keene Street",Columbia,65212,"Boone "
"South Side Health Center","5001 Lake Avenue","St. Joseph",64504,"Buchanan "
"Southeast Home Health","#10 Doctors Park","Cape Girardeau",63703,"Cape Girardeau "
"Southeast Home Health of Dexter","1300 North One Mile Road",Dexter,63841,"Stoddard "
"Southeast Missouri Behavioral Health","1565 Ste. Genevieve Avenue",Farmington,63640,"St. Francois "
"Southeast Missouri Behavioral Health - Poplar Bluff","101 South Main Street","Poplar Bluff",63901,"Butler "
"Southeast Missouri Behavioral Health - Salem","203 North Grand",Salem,65560,"Dent "
"Southeast Missouri Health Network (Corporate Office - South)","420 SEMO Drive","New Madrid",63869,"New Madrid "
"Southeast Missouri Health Network (Corporate Office)","6738 State Highway 77 E",Benton,63869,"Scott "
"Southeast Missouri Residential Services (SEMORS)","112 Plaza Drive",Sikeston,63801,"Scott "
"Southeast Missouri State University","1 University Plaza","Cape Girardeau",63701,"Cape Girardeau "
"Southeastern Missouri Behavior Health","1051 Kingshighway",Rolla,65401,"Phelps "
SoutheastHEALTH,"1701 Lacey Street","Cape Girardeau",63701,"Cape Girardeau "
"SoutheastHEALTH - Mt. Auburn Road","817 South Mt. Auburn Road","Cape Girardeau",63703,"Cape Girardeau "
"SoutheastHEALTH - Women First","1111 North Mt. Auburn Road","Cape Girardeau",63701,"Cape Girardeau "
"SoutheastHEALTH Center of Stoddard County","1200 One Mile Road ",Dexter,63841,"Stoddard "
"Southern Boone County Schools","14520 South Crump Lane",Ashland,65010,"Boone "
"Southern Missouri Community Health Center","1137 Independence Drive","West Plains",65775,"Howell "
"Southern Missouri Community Health Center Thayer Clinic","US Highway 63 North (RR 3 Box 3703)",Thayer,65791,"Oregon "
"Southland C-9 School District","500 South Main Street",Cardwell,63829,"Dunklin "
"Southwest Baptist University","4431 South Fremont",Springfield,65804,"Greene "
"Southwest Missouri Area Health Education Center","901 South National Avenue PCOB 215",Springfield,65897,"Greene "
"Southwest Pediatrics","6526 Lansdowne Avenue","St. Louis",63109,"St. Louis city "
"Sparta R-III School District","217 Division Street",Sparta,65753,"Christian "
"Special School District - Litzinger School","10094 Litzsinger Road",Ladue,63124,"St. Louis "
"Special School District - Parkway Early Childhood Center","14605 Clayton Road",Ballwin,63011,"St. Louis "
"Special School District - South Tech High School","12721 West Watson Road","Sunset Hills",63127,"St. Louis "
"Special School District of St. Louis County","12110 Clayton Road","Town & Country",63131,"St. Louis "
"Spectrum Health Care","1123 Wilkes Boulevard Suite 250",Columbia,65201,"Boone "
"Spokane R-VII School District","167 Kentling Avenue",Highlandville,65669,"Christian "
"Springfield - Greene County Health Department ","227 East Chestnut Expressway",Springfield,65802,"Greene "
"Springfield Area Chamber of Commerce","202 South John Q. Hammons Parkway",Springfield,65806,"Greene "
"Springfield Catholic Schools","2340 South Eastgate Avenue",Springfield,65809,"Greene "
"Springfield Public Schools","1359 East St. Louis Street",Springfield,65802,"Greene "
"Springfield R-XII School District","2524 South Penzance Avenue",Springfield,65809,"Greene "
"SSM - Audrain Health & Wellness","713 East Jackson",Mexico,65265,"Audrain "
"SSM Health","10151 Corporate Square Drive","St. Louis",63132,"St. Louis "
"SSM Health - School Partnership Office","1465 South Grand Boulevard","St. Louis",63104,"St. Louis city "
"SSM Health - St. Joseph Hospital","300 First Capitol Drive","St. Charles",63301,"St. Charles "
"SSM Health - St. Louis","12312 Olive Boulevard","St. Louis",63141,"St. Louis "
"SSM Health Cardinal Glennon Children's Medical Center","1465 South Grand Boulevard","St. Louis",63104,"St. Louis city "
"SSM Health Express Clinics","1015 Corporate Square Drive","St. Louis",63132,"St. Louis "
"SSM Health Maternal & Fetal Care Center","1027 Bellevue Suite 205","Richmond Heights",63117,"St. Louis "
"SSM Health Maternal & Fetal Care Center - Fenton","1011 Bowles Avenue Suite 300",Fenton,63026,"St. Louis "
"SSM Health Medical Group - Bridgeton","12277 DePaul Drive Suite 503",Bridgeton,63044,"St. Louis "
"SSM Health Medical Group - Montgomery City","240 North Pickering Street","Montgomery City",63361,"Montgomery "
"SSM Health Medical Group - St. Louis","1035 Bellevue Avenue Suite 400A","St. Louis",63117,"St. Louis "
"SSM Health Medical Group - Vandalia","204 West Washington",Vandalia,63382,"Audrain "
"SSM Health Medical Group Pediatrics - Jefferson City","3348 American Avenue","Jefferson City",65109,"Cole "
"SSM Health Outpatient Center","711 Veterans Memorial Parkway","St. Charles",63303,"St. Charles "
"SSM Health St. Clare Hospital","1015 Bowles Avenue",Fenton,63026,"St. Louis "
"SSM Health St. Mary's Hospital - Jefferson City","2505 Mission Drive","Jefferson City",65109,"Cole "
"SSM Health St. Mary's Hospital - Maternal & Fetal Medicine","1027 Bellevue Avenue Suite 205","St. Louis",63117,"St. Louis "
"SSM Health St. Mary's Hospital - St. Louis","1031 Bellevue Avenue","St. Louis",63117,"St. Louis "
"SSM Health Urgent Care","8820 Manchester Road",Brentwood,63144,"St. Louis "
"SSM Health WISH Center","1035 Bellevue Avenue Suite 205","Richmond Heights",63117,"St. Louis "
"SSM Medical Group - Pediatrics","3626 South Clark Suite A",Mexico,65265,"Audrain "
"St. Bernards Urgent Care","1312 First Street",Kennett,63857,"Dunklin "
"St. Clair County Health Center","530 Arduser Drive",Osceola,64776,"St. Clair "
"St. Clair R-XIII School District","905 Bardot Street","St. Clair",63077,"Franklin "
"St. Elizabeth R-IV School District","240 Church Street","St. Elizabeth",65075,"Miller "
"St. Francis Borgia Grade School","225 Cedar Street",Washington,63090,"Franklin "
"St. James R-I School District","122 East Scioto","St. James ",65559,"Phelps "
"St. John School","15800 Manchester Road",Ellisville,63011,"St. Louis "
"St. Joseph Catholic School","123 East Main Street",Westphalia,65052,"Osage "
"St. Joseph Health Department","904 South 10th Street","St. Joseph",64503,"Buchanan "
"St. Joseph Imperial School","6024 Old Antonia Road",Imperial,63026,"Jefferson "
"St. Joseph School District","925 Felix Street","St. Joseph",64501,"Buchanan "
"St. Justin Martyr School","11914 Eddie and Park Road","St. Louis",63126,"St. Louis "
"St. Kolbe-Puckett Center for Healing Inc.","210 North 7th Street","St. Joseph",64501,"Buchanan "
"St. Louis Arc","1177 North Warson Road","St. Louis",63132,"St. Louis "
"St. Louis Cancer Care LLP","10004 Kennerly Road Suite 137A","St. Louis",63126,"St. Louis "
"St. Louis Children's Hospital","One Children's Place","St. Louis",63116,"St. Louis city "
"St. Louis Children's Hospital - Raising St. Louis","One Children's Place","St. Louis",63110,"St. Louis "
"St. Louis College of Pharmacy","4588 Parkview Place","St. Louis",63110,"St. Louis "
"St. Louis Community College","3140 Cast Avenue","St. Louis",63106,"St. Louis city "
"St. Louis Community College - McKelvey Road","3221 McKelvey Road",Bridgeton,63044,"St. Louis "
"St. Louis County Department of Public Health - Corrections Medicine","100 South Central Avenue",Clayton,63105,"St. Louis "
"St. Louis County Department of Public Health - Hanley","6121 North Hanley Road",Berkeley,63134,"St. Louis "
"St. Louis County Department of Public Health - Jennings Station","4000 Jennings Station Road","St. Louis",63121,"St. Louis "
"St. Louis County Department of Public Health - Lindbergh","4580 South Lindbergh Boulevard","St. Louis",63127,"St. Louis "
"St. Louis County Mental Health Court","105 South Central Avenue Courtroom 485 ",Clayton,63105,"St. Louis "
"St. Louis County Public Health Primary Care Integration","4000 Jennings Station Road","St. Louis",63121,"St. Louis "
"St. Louis Developmental Disability Treatment Centers - St. Charles Habilitation Center","22 Marr Lane","St. Charles",63303,"St. Charles "
"St. Louis Effort for AIDS","2653 Locust Avenue","St. Louis",63103,"St. Louis city "
"St. Louis Home Health","1000 Camera Avenue Suite B","St. Louis",63126,"St. Louis "
"St. Louis Integrated Health Network","1520 Market Street Suite 4034","St. Louis",63103,"St. Louis "
"St. Louis Life","929 Rolling Thunder Drive",O'Fallon,63368,"St. Charles "
"St. Louis Post-Dispatch","900 North Tucker Boulevard","St. Louis",63101,"St. Louis city "
"St. Louis Public Schools","801 North 11th Street","St. Louis",63101,"St. Louis city "
"St. Louis Suburban School Nurses' Association","12580 Durbin Drive","St. Louis",63151,"St. Louis "
"St. Luke's Home Health and Hospice","101 St. Luke's Center Drive",Chesterfield,63017,"St. Louis "
"St. Luke's Hospital Urgent Care - Weldon Spring","1051 Wolfrum Crossing","Weldon Spring",63304,"St. Charles "
"St. Monica Catholic School","12132 Olive Boulevard","Creve Coeur",63141,"St. Louis "
"St. Patrick Center","800 North Tucker Boulevard","St. Louis",63101,"St. Louis city "
"St. Paul's Episcopal Day School","4041 Main Street","Kansas City",64111,"Jackson "
"St. Teresa Pediatrics","7387 Watson Road",Shrewsbury,63119,"St. Louis "
"Stanberry R-II School District","610 North Park Street",Stanberry,64489,"Gentry "
"State Fair Community College","3201 West 16th Street",Sedalia,65301,"Pettis "
"State of Missouri","P.O. Box 570","Jefferson City",65102,"Cole "
"State of Missouri - Department of Workforce Development","3417 Division Drive","West Plains",65775,"Howell "
"State Techical College of Missouri","1 Technology Drive",Linn,65051,"Osage "
"State Technical College of Missouri","One Technology Drive",Linn,65051,"Osage "
"Ste Genevieve County Health Department","115 Basler Drive","Ste Genevieve",63670,"Ste. Genevieve "
"Ste. Genevieve R-II School District","375 North 5th Street ","Ste. Genevieve ",63670,"Ste. Genevieve "
"Ste. Genevieve R-II School District - Elementary","725 Washington Street","Ste. Genevieve",63670,"Ste. Genevieve "
"Ste. Genevieve R-II School District - High School","715 Washington Street","Ste. Genevieve",63670,"Ste. Genevieve "
"Steelville R-III School District","817 West Main Street",Steelville,65565,"Crawford "
"Steger/Givens School","701 North Rockhill Road","St. Louis",63119,"St. Louis "
"Stephens College","1200 East Broadway",Columbia,65215,"Boone "
"Sterling Dental Care","3408 Buttonwood Drive Suite A",Columbia,65201,"Boone "
"Stockton R-I School District","906 South Street",Stockton,65785,"Cedar "
"Stone County Recovery Center","27 Tower Lane","Reeds Spring",65737,"Stone "
"Strafford R-VI School District","211 West McCabe",Strafford,65757,"Greene "
"Substance Abuse & Mental Health Services Administration","601 East 12th Street Suite N250","Kansas City",64106,"Jackson "
"Suburban Pediatrics ","456 North New Ballas Suite 304","St. Louis",63141,"St. Louis "
"Sullivan County Hospital","630 West 3rd Street",Milan,63556,"Sullivan "
"Sullivan School District","138 Taylor Street",Sullivan,63080,"Franklin "
"Sunnyhill Inc.","14 Soccer Park Road",Fenton,63026,"St. Louis "
"Sunrise R-IX School District","4485 Sunrise School Road",Desoto,63020,"Jefferson "
"Suzanne's Mental Health & Wellness","5310 South Rock Quarry Road",Columbia,65201,"Boone "
"Swann Dermatology","3850 South National Avenue Suite 705",Springfield,65807,"Greene "
"Sweet Springs R-VII School District","600 East Marshall Street","Sweet Springs",65351,"Saline "
"Swope Health Belton","206 E. North Avenue",Belton,64012,"Cass "
"Swope Health East","17844 E. 23rd Street South",Independence,64057,"Jackson "
"Swope Health Maple Woods","3100 NE 83rd Street","Kansas City",64119,"Jackson "
"Swope Health Northland","2906 NW Vivion Road",Riverside,64150,"Platte "
"Swope Health Services","3801 Blue Parkway","Kansas City",64130,"Jackson "
"Swope Health Services - Blue Ridge Boulevard","8800 Blue Ridge Boulevard","Kansas City",64138,"Jackson "
"Swope Health Services - Independence","11320 East Truman Road",Independence,64050,"Jackson "
"Swope Mobile","3801 Blue Parkway","Kansas City",64130,"Jackson "
"Synergy Services","2001 Northeast Parvin Road","Kansas City",64116,"Clay "
"Table Rock Family Medicine and Obstetrics","800 East Highway 248 Suite F",Branson,65616,"Taney "
"Take Better Care of Yourself LLC","6414 North Spruce Avenue","Kansas City",64119,"Clay "
"Taney County Health Department","320 Rinehart Road",Branson,65616,"Taney "
"Tarkio R-I School District","1201 Pine Street",Tarkio,64491,"Atchison "
"Taylor Health Center","901 South National Avenue",Springfield,65897,"Greene "
"Taylor Psychological Services LLC","10918 Elm Avenue","Kansas City",64134,"Jackson "
TeamHealth,"11021 Cypress Avenue","Kansas City",64137,"Jackson "
"Technology Consulting Group","2627 Wayne 517",Wappapello,63966,"Wayne "
"Terrace Home Health and Hospice","4650 South National Avenue Suite C-3",Springfield,65810,"Greene "
"Texas County Memorial Hospital Family Clinic","1335 South Sam Houston Boulevard",Houston,65483,"Texas "
"The Arc of the Ozarks - Joplin","4722 East 32nd",Joplin,64804,"Newton "
"The Arc of the Ozarks - Springfield","1721 West Elfindale",Springfield,65807,"Greene "
"The Baptist Home - Veterans Care Ministry","3373 State Highway Z",Billings,65610,"Christian "
"The Bluffs","3105 Bluff Creek Drive",Columbia,65201,"Boone "
"The Braun Home","608 West Chestnut",Fulton,65251,"Callaway "
"The Brook Wellness Center","895 State Highway 248 Suite C",Branson,65616,"Taney "
"The Care Clinic","106 West Edwards",Maryville,64468,"Nodaway "
"The Family Doctor's Office","3 Westowne Street Suite 303",Liberty,64068,"Clay "
"The Healthiest You LLC","2311 Southwest Pheasant Trail","Lee's Summit",64082,"Jackson "
"The Holy Bible Ministry","10956 Margatehill Drive #3",Bridgeton,63044,"St. Louis "
"The Liberty Clinic","2609 Glenn Hendren Drive",Liberty,64068,"Clay "
"The Neurology Institute of Missouri Medical Group","525 North Keene Street Suite 301",Columbia,65201,"Boone "
"The Ozarks Methodist Manor","205 South College Avenue",Marionville,65705,"Lawrence "
"The ROCC Station","1402 South Main Street",Joplin,64804,"Jasper "
"The Special Learning Center","1115 Fairgrounds Road","Jefferson City",65109,"Cole "
"The Speech House ","388 Old Rte 66","St. Roberts ",65584,"Pulaski "
"Therapy Unlimited ","4200 Merchant Street #103","Columbia ",65203,"Boone "
"Thompson Center for Autism & Neurodevelopmental Disorders","205 Portland Street",Columbia,65211,"Boone "
"Thompson Foundation","2718 Forum Boulevard Suite 3A",Columbia,65203,"Boone "
"Three Rivers Hospice","631 Springpark Boulevard ","Mt. Vernon",65712,"Lawrence "
"Thrive Autism Solutions","9374 Olive Boulevard ",Olivette,63132,"St. Louis "
"Thrive Autism Solutions - Columbia","2620 Forum Boulevard Suite E",Columbia,65203,"Boone "
"Tiger Institute","2401 Lemone Industrial Boulevard",Columbia,65201,"Boone "
"Tiger Pediatrics","303 North Keene Street Suite 404",Columbia,65201,"Boone "
"Tim Mitchell Medical Inc.","719 South Neosho Boulevard",Neosho,64850,"Newton "
"Tina Avalon R-II School District","11896 Highway 65",Tina,64286,"Carroll "
"TIPS for Kids","315 Business Loop 70 West",Columbia,65203,"Boone "
"Tipton R-VI School District","305 U.S. Highway 50 East",Tipton,65081,"Moniteau "
"TLC Pediatrics","2925 Clinton Road",Sedalia,65301,"Pettis "
"TNC Community","12404 East Highway 40",Independence,64055,"Jackson "
"TP Children & Teens","2340 East Meyer Boulevard Bldg. 1 Suite 208","Kansas City",64132,"Jackson "
"Trenton R-IX School District","496 Southwest Highway W",Trenton,64683,"Grundy "
"TRI P.A.","6601 Winchester Suite 230 ","Kansas City",64133,"Jackson "
"Tri-County Christian School","604 HBC Road",Macon,63552,"Macon "
"Tri-County Mental Health Services Inc.","3100 Northeast 83rd Street Suite 1001","Kansas City",64119,"Clay "
"Tri-Lakes Community Health Center","11863 State Highway 13","Kimberling City",65686,"Stone "
"Troy R-III School District","1601 South Main Street",Troy,63379,"Lincoln "
"Truman Learning Center","209 West College Street",Farmington,63640,"St. Francois "
"Truman Medical Centers","2301 Holmes Street","Kansas City",64108,"Jackson "
"Truman Medical Centers - Behavioral Health","300 West 19th Terrace","Kansas City",64108,"Jackson "
"Truman Medical Centers - Fairmount Family Medical Care","606 South Hardy Avenue",Independence,64053,"Jackson "
"Truman Medical Centers - Lakewood","7900 Lee's Summit Road","Kansas City",64139,"Jackson "
"Truman Medical Centers - Lakewood Counseling Services","300 Southeast 2nd Street Suite 100","Lee's Summit",64063,"Jackson "
"Truman Medical Centers - Medical Pavilion","2301 Charlotte Street","Kansas City",64108,"Jackson "
"Truman Medical Centers - Mersington Avenue","3130 Mersington Avenue","Kansas City",64128,"Jackson "
"Truman Medical Centers - Oakley Avenue","336 Oakley Avenue","Kansas City",64123,"Jackson "
"Truman Medical Centers - Recovery Health Services","1000 East 24th Street Suite 2E","Kansas City",64108,"Jackson "
"Truman Medical Centers - Tracy Avenue","2900 Tracy Ave","Kansas City",64109,"Jackson "
"Truman Medical Centers - University Health","2101 Charlotte","Kansas City",64108,"Jackson "
"Truman State University ","100 East Normal Avenue ","Kirksville ",63501,"Adair "
"Truman Student Health Center","100 East Normal Street",Kirksville,63501,"Adair "
"Truman VA Medical Research Foundation","800 Hospital Drive Room A008A",Columbia,65201,"Boone "
"Turning Point Recovery Centers","146 Communications Drive",Hannibal,63401,"Marion "
"Twin Rivers R-X School District","9261 Highway 51",Broseley,63932,"Butler "
"Twin Rivers Regional Medical Center","1301 1st Street",Kennett,63857,"Dunklin "
"Union R-XI School District","#1 Wildcat Drive",Union,63084,"Franklin "
"Union R-XI School District - Beaufort Elementary","3200 West Highway 50",Beaufort,63013,"Franklin "
"Union Star R-II School District","6132 Northwest Route Z","Union Star",64494,"DeKalb "
"United HealthCare","13655 Riverport Drive","Maryland Heights",63043,"St. Louis "
"United Services for Children / Uncommon Grace ","4140 Old Mill Parkway ","St. Peters",63376,"St. Charles "
"United States Air Force","710 McGuire Street","Whiteman AFB",65305,"Johnson "
"United Way of Greater St. Louis","910 North 11th","St. Louis",63101,"St. Louis city "
UnitedHealthcare,"P.O. Box 1914",Joplin,64802,"Jasper "
"UnitedHealthcare - Maryland Heights","13655 Riverport Drive","Maryland Heights",63043,"St. Louis "
"University Academy","6801 Holmes Road","Kansas City",64131,"Jackson "
"University City High School","7401 Balson Avenue","University City",63130,"St. Louis "
"University City School District - Brittany Woods Middle School","8125 Groby Road","University City",63130,"St. Louis "
"University Club Medical","1520 South Brentwood","St. Louis",63144,"St. Louis "
"University Health Center","600 South College Avenue UHC229",Warrensburg,64093,"Johnson "
"University Health Women's Care - Lee's Summit","3450 Northeast Ralph Powell Road","Lee's Summit",64064,"Jackson "
"University of Central Missouri","600 South College",Warrensburg,64093,"Johnson "
"University of Central Missouri - Educational Leadership & Human Development","Lovinger Building Room 4101",Warrensburg,64093,"Johnson "
"University of Missouri","230 Jesse Hall",Columbia,65211,"Boone "
"University of Missouri - Academic Affairs","104 Ellis Library",Columbia,65211,"Boone "
"University of Missouri - Bridge Program","1 Hospital Drive",Columbia,65212,"Boone "
"University of Missouri - Campus Facilities","417 South Fifth Street",Columbia,65211,"Boone "
"University of Missouri - Center for Behavioral Health","8001 Natural Bridge Road ","St. Louis",63121,"St. Louis "
"University of Missouri - Center for Continuing Medical Education","1 Hospital Drive PCCLC Building",Columbia,65212,"Boone "
"University of Missouri - Center for Health Ethics","Five Hospital Drive CE722",Columbia,65211,"Boone "
"University of Missouri - Center for Health Policy","One Hospital Drive CE543 CS&E Building",Columbia,65212,"Boone "
"University of Missouri - Child & Adolescent Psychiatry","1000 West Nifong Boulevard Building 2 Suite 140",Columbia,65203,"Boone "
"University of Missouri - College of Education","118 Hill Hall",Columbia,65211,"Boone "
"University of Missouri - Coordinated Dietetic Program","204 Gwynn Hall",Columbia,65211,"Boone "
"University of Missouri - Department of Applications & Training","615 Locust Street",Columbia,65211,"Boone "
"University of Missouri - Department of Child Health","400 North Keene Street",Columbia,65212,"Boone "
"University of Missouri - Department of Family & Community Medicine","1 Hospital Drive M224 Medical Sciences Building",Columbia,65212,"Boone "
"University of Missouri - Department of Health Administration & Informatics","1 Hospital Drive",Columbia,65201,"Boone "
"University of Missouri - Department of Medicine","1 Hospital Drive DC043.00",Columbia,65212,"Boone "
"University of Missouri - Department of Medicine Residency Program","1 Hospital Drive MA421 Health Sciences Center",Columbia,65212,"Boone "
"University of Missouri - Department of Physical Therapy","801 Clark Hall",Columbia,65201,"Boone "
"University of Missouri - Department of Psychiatry","3 Hospital Drive",Columbia,65212,"Boone "
"University of Missouri - Department of Urogynecology","500 North Keene Street Suite 306",Columbia,65201,"Boone "
"University of Missouri - Dermatology Department","1 Hospital Drive MA111K",Columbia,65212,"Boone "
"University of Missouri - Disability Center","518 Hitt Street ",Columbia,65211,"Boone "
"University of Missouri - Division of Biological Sciences","105 Tucker Hall",Columbia,65211,"Boone "
"University of Missouri - Division of Gastroenterology & Hepatology","1 Hospital Drive CE405",Columbia,65212,"Boone "
"University of Missouri - Endocrinology Department","1 Hospital Drive","Columbia ",65212,"Boone "
"University of Missouri - Fulton Family Health","2613 Fairway Drive Suite C",Fulton,65251,"Callaway "
"University of Missouri - General Counsel's Office","227 University Hall",Columbia,65211,"Boone "
"University of Missouri - Health Communication Research Center","130 Neff Annex",Columbia,65211,"Boone "
"University of Missouri - Health Management & Informatics","1 Hospital Drive",Columbia,65201,"Boone "
"University of Missouri - Human Development & Family Science","314 Gentry Hall",Columbia,65211,"Boone "
"University of Missouri - Human Environmental Science","306 Gentry Hall",Columbia,65211,"Boone "
"University of Missouri - Institute of Clinical & Translational Science","MA204 Medical Science Building",Columbia,65212,"Boone "
"University of Missouri - Kansas City","5100 Rockhill Road","Kansas City",64110,"Jackson "
"University of Missouri - Kansas City Counseling Services","5110 Oak Street Suite 201","Kansas City",64112,"Jackson "
"University of Missouri - Kansas City Department of Community & Family Medicine","7900 Lee's Summit Road","Kansas City",64139,"Jackson "
"University of Missouri - Kansas City Institute for Human Development","215 West Pershing Road","Kansas City",64108,"Jackson "
"University of Missouri - Kansas City Psychiatry Residency","1000 East 24th Street","Kansas City",64108,"Jackson "
"University of Missouri - Kansas City School of Dentistry","650 East 25th Street","Kansas City",64109,"Jackson "
"University of Missouri - Kansas City School of Education","615 East 52nd Street","Kansas City",64110,"Jackson "
"University of Missouri - Kansas City School of Medicine","2411 Holmes Street","Kansas City",64108,"Jackson "
"University of Missouri - Kansas City School of Nursing & Health Studies","2464 Charlotte Street Suite 2413","Kansas City",64108,"Jackson "
"University of Missouri - Kansas City School of Pharmacy","2464 Charlotte Street","Kansas City",64108,"Jackson "
"University of Missouri - Kansas City School of Pharmacy at MU","807 Lewis Hall",Columbia,65211,"Boone "
"University of Missouri - Kansas City School of Pharmacy at Springfield","327 West Mill Street 4th Floor",Springfield,65806,"Greene "
"University of Missouri - Kansas City Student Health","5110 Oak Street Building 51 Suite 237","Kansas City",64112,"Jackson "
"University of Missouri - Medical Research Office","905 Hitt Street",Columbia,65201,"Boone "
"University of Missouri - Medical Sciences Building","1 Hospital Drive",Columbia,65211,"Boone "
"University of Missouri - Missouri Health Professions Consortium","127 AP Green",Columbia,65203,"Boone "
"University of Missouri - Nephrology Department","CE422 Clinical Support & Education Building",Columbia,65212,"Boone "
"University of Missouri - Pediatric & Adolescent Specialty Clinic","404 North Keene Street #101",Columbia,65201,"Boone "
"University of Missouri - Pediatric Residency","404 North Keene Street",Columbia,65201,"Boone "
"University of Missouri - Physical Medicine & Rehabilitation","315 Business Loop 70 West - Entrance B",Columbia,65203,"Boone "
"University of Missouri - Public Relations","1 Hospital Drive",Columbia,65212,"Boone "
"University of Missouri - School of Health Professions","504 Lewis Hall",Columbia,65211,"Boone "
