name,streetaddress,city,state,zipcode,county,country,phone
"Sanjay T. Bhat MD PC","10004 Kennerly Road","St. Louis",63128,MO,"St. Louis County",US,"(314) 729-1717"
"Sanofi Genzyme",NA,Lawrence,KS,,"Douglas County",US,"(735) 766-2118"
"Sanofi Genzyme - Kansas ","11713 Mohawk Lane",Leawood,KS,66211,"Johnson County",US,"(913) 278-2826"
"Santa Fe R-X School District","108 North Chiefs Avenue",Alma,MO,64001,"Lafayette ",US,"(660) 909-2243"
"Santa Maria Hostel","2605 Parker Rd",Houston,TX,77093,,US,"(832) 758-1565"
"Santa Maria Hostel","3701 Kirby Dr Suite 600",Houston,TX,77098,,US,"(713) 795-7752"
"Sarah Wilhelms MSW LCSW","20480 Skyview Drive Apartment B",Waynesville,MO,65583,"Pulaski ",US,"(314) 605-0635"
"Savannah Medical Clinic","803 Highway 71 West",Savannah,MO,64485,"Andrew ",US,8163243121
"Savannah R-III School District","408 West Market",Savannah,MO,64485,"Andrew ",US,816-324-3144
"School District of Clayton","2 Mark Twain Circle",Clayton,MO,63105,"St. Louis ",US,"(314) 854-6306"
"School District of New London - Sugar Bush Elementary","901 West Washington Street","New London",WI,54961,"Outagamie County",US,"(920) 982-0147"
"School District of University City","6761 Bartmer Avenue","University City",MO,63130,"St. Louis ",US,"(314) 292-4155"
"School District of Washington","220 Locust Street",Washington,MO,63090,"Franklin ",US,"(646) 231-2000"
"School of the Osage","1501 School Road","Lake Ozark",MO,65049,"Camden ",US,
"Schreier Family Medicine LLC","1006 North Jesse James Road Suite 1","Excelsior Springs",MO,64024,"Clay ",US,"(816) 630-9411"
"SCL Health","3210 North Lutheran Parkway","Wheat Ridge",CO,80033,"Jefferson County",US,"(720) 651-0833"
"Score for Health","1750 Independence Avenue","Kansas City",MO,64106,"Jackson ",US,"(507) 369-8237"
"Scotland County Health Department","214 West Madison",Memphis,MO,63555,"Scotland ",US,"(660) 465-7275"
"Scotland County Hospital","450 East Sigler Avenue",Memphis,MO,63555,"Scotland ",US,"(660) 465-8511"
"Scott City R-I School District","3000 Main Street","Scott City",MO,63780,"Scott ",US,"(573) 264-2131"
"Scott County R-IV School District","20794 U.S. Highway 61",Sikeston,MO,63801,"Scott ",US,"(573) 471-2686"
"Scuola Vita Nuova Charter School","535 Garfield Avenue","Kansas City ",MO,64124,"Jackson ",US,"(816) 231-5788"
"Seashore Family Services","35 Beaverson Boulevard",Brick,NJ,8723,,US,
"Seasons Hospice & Palliative Care","3660 South Geyer Road Suite 120","St. Louis",MO,63127,"St. Louis ",US,"(314) 882-5675"
"Seasons/Crown Hospice","1831 West Melville Road",Springfield,MO,65803,"Greene ",US,"(417) 890-5533"
"Seattle Children's Autism Center","4909 25th Avenue NorthEast",Seattle,WA,98105,King,US,206-226-6119
"Sedalia School District 200","2806 Matthew Drive",Sedalia,MO,65301,"Pettis ",US,"(660) 829-6450"
"Sedgwick County Area Interlocal Special Education Cooperative",NA,"Valley Center",KS,67114,Sedgwick,US,
"Select Physical Therapy","1431 Southwest Boulevard Suite 314","Jefferson City",MO,65109,"Cole ",US,"(573) 636-9104"
"Seminole County Public Schools",NA,Heathrow,FL,32773,,US,
"SEMO Health Network - Benton","6724 Highway 77 East",Benton,MO,63736,"Scott ",US,"(573) 545-4200"
"SEMO Health Network - Bernie","741 South Walnut",Bernie,MO,63822,"Stoddard ",US,"(573) 293-6836"
"SEMO Health Network - Caruthersville","109 East 5th Street ",Caruthersville,MO,63830,"Pemiscot ",US,"(573) 359-9803"
"SEMO Health Network - Kennett","500 Russell Street",Kennett,MO,63857,"Dunklin ",US,"(573) 717-1332"
"SEMO Health Network - New Madrid","421 SEMO Drive","New Madrid",MO,63869,"New Madrid ",US,"(573) 748-2404"
"SEMO Health Network - School Based Health Clinic","920 Kennett Street",Kennett,MO,63857,"Dunklin ",US,"(573) 717-1130"
"SEMO Health Network - Sikeston","200 Southland Drive",Sikeston,MO,63801,"Scott ",US,"(573) 472-1770"
"SEMO State University Autism Center","611 North Fountain Street","Cape Girardeau",MO,63701,"Cape Girardeau ",US,"(573) 986-4985"
"Senath-Hornersville School District","802 South State Street",Senath,MO,63876,"Dunklin ",US,"(573) 738-2515"
"Seneca R-VII School District","914 Frisco Street",Seneca,MO,64865,"Newton ",US,"(417) 776-3426"
"Senior Life Solutions","1407 North Jefferson",Carrollton,MO,64633,"Carroll ",US,"(660) 542-1695"
"Serenity Counseling","7933 State Avenue","Kansas City",KS,66102,"Wyandotte County",US,"(913) 766-5414"
"Serenity HospiceCare","5272 Flat River Road","Park Hills",MO,63601,"St. Francois ",US,"(573) 431-0161"
"Seymour R-II School District","416 East Clinton",Seymour,MO,65746,"Webster ",US,"(417) 935-2287"
"SH Consulting LLC","93 Granite Way",Dover,DE,19901,"Kent County",US,"(302) 423-0026"
"Shady Grove School for the Severely Disabled","2400 High Street","Poplar Bluff",MO,63901,"Butler ",US,"(573) 840-9592"
"Shalom House Inc.","1040 South Taylor Avenue","St. Louis",MO,63110,"St. Louis ",US,"(314) 534-1010"
"Shannon County Family Clinic","17959 Main St",Eminence,MO,65466,"Shannon ",US,5732265505
"Shelby County Health Department","700 East Main",Shelbyville,MO,63469,"Shelby ",US,"(573) 633-2352"
"Shelby County R-IV School District","4154 Highway 36",Shelbina,MO,63468,"Shelby ",US,"(573) 588-2208"
"Sherwood Cass R-VIII School District","33300 South Sherwood Drive",Creighton,MO,64739,"Cass ",US,"(660) 499-2239"
"SHIELDS for Families","11601 S Western","Los Angeles",CA,90047,,US,kicenhower@shieldsforfamilies.org
"Sidney Kimmel Medical College","528 Eaglebrook Drive",Moorestown,NJ,8057,"Burlington County",US,"(215) 771-2615"
"Signature Allergy & Immunology","555 North New Ballas Road Suite 215","St. Louis",MO,63141,"St. Louis ",US,"(314) 872-3104"
"Sikeston Dental","220 Southland Drive",Sikeston,MO,63801,"Scott ",US,5734714167
"Sikeston Medical","200 Southland Drive",Sikeston,MO,63801,"Scott ",US,5734721770
"Sikeston R-VI School District","600 Pine Street",Sikeston,MO,63801,"Scott ",US,"(573) 472-8862"
"Silver Arrow Strategies","3726 Old Hopper Road","Cape Girardeau",MO,63701,"Cape Girardeau ",US,"(573) 587-6122"
"Simmons University","300 The Fenway",Boston,MA,2115,"Suffolk County",US,"(617) 521-2000 "
Skillset,"1212 Satinwood Drive","Jefferson City",MO,65109,"Cole ",US,"(573) 340-5832"
"SLUCare Physicians Group - Bellevue Avenue","1031 Bellevue Avenue Suite 400","St. Louis",MO,63117,"St. Louis ",US,"(314) 977-7455"
"SLUCare Physicians Group - Dougherty Ferry Road","2315 Dougherty Ferry Road Suite 205","St. Louis",MO,63122,"St. Louis ",US,"(314) 629-5373"
"SLUCare Physicians Group - Vista Avenue","3660 Vista Avenue Suite 206 & 207","St. Louis",MO,63110,"St. Louis ",US,"(314) 977-6100"
"SMART Learning Center","P.O. Box 270524","Kansas City",MO,64127,"Jackson ",US,"(816) 612-1083"
"Smithton R-VI School District","505 South Myrtle Avenue",Smithton,MO,65350,"Pettis ",US,"(660) 343-5316"
"Smithville R-II School District - Maple Elementary","600 Maple Avenue",Smithville,MO,64089,"Clay ",US,"(816) 532-0589"
"Smithville R-II School District - Middle School","675 South Commercial Avenue",Smithville,MO,64089,"Clay ",US,"(816) 532-1122"
"Social Welfare Board (HEALTH)","904 South 10th Street Suite A","St. Joseph",MO,64503,"Buchanan ",US,"(816) 449-0979"
"Soerries Coding & Billing Institute","1412 Southwest Eagles Parkway","Grain Valley",MO,64029,"Washington ",US,"(785) 556-8959"
"SOS Counseling","400 East Red Bridge 304","Kansas City",MO,64131,"Jackson ",US,"(816) 895-6442"
"South Callaway R-II School District","10135 State Road C",Mokane,MO,65059,"Callaway ",US,"(573) 676-5225"
"South Carolina Department of Health and Environmental Control","4050 Bridge View Dr","North Charleston",SC,29405,,US,
"South Central Missouri Community Action Agency","#1 Old Alton Road",Winona,MO,65588,"Shannon ",US,"(573) 870-0123"
"South County Anesthesia Associates","339 Consort Drive",Ballwin,MO,63011,"St. Louis ",US,"(314) 315-6412"
"South County Health Center","4580 South Lindbergh Boulevard","St. Louis",MO,63127,"St. Louis ",US,"(314) 276-0773"
"South Dakota Newborn Screening Program","600 East Capitol",Pierre,SD,57501,"Hughes County",US,"(605) 773-2944"
"South Florida Jail Ministries","22790 SW 112 Ave",Miami,FL,33170,,US,"(305) 235-2616 ext. 341"
"South Harrison R-II School District","3400 Bulldog Avenue",Bethany,MO,64424,"Harrison ",US,"(660) 425-7467"
"South Holt R-I School District","201 South Barbour",Oregon,MO,64473,"Holt ",US,"(660) 446-2356"
"South Iron R-I School District","210 School Street",Annapolis,MO,63620,"Iron ",US,"(573) 598-4241"
"South Nodaway R-IV School District","209 South Morehouse ",Barnard,MO,64423,"Nodaway ",US,"(660) 652-3727"
"South Pavilion - UMC Child Health Department","400 Keene Street",Columbia,MO,65212,"Boone ",US,
"South Side Health Center","5001 Lake Avenue","St. Joseph",MO,64504,"Buchanan ",US,8162387788
"Southeast Home Health","#10 Doctors Park","Cape Girardeau",MO,63703,"Cape Girardeau ",US,"(573) 335-6208"
"Southeast Home Health of Dexter","1300 North One Mile Road",Dexter,MO,63841,"Stoddard ",US,"(573) 624-3511"
"Southeast Missouri Behavioral Health","1565 Ste. Genevieve Avenue",Farmington,MO,63640,"St. Francois ",US,"(573) 729-4103"
"Southeast Missouri Behavioral Health - Poplar Bluff","101 South Main Street","Poplar Bluff",MO,63901,"Butler ",US,"(573) 686-5090"
"Southeast Missouri Behavioral Health - Salem","203 North Grand",Salem,MO,65560,"Dent ",US,"(573) 729-4103"
"Southeast Missouri Health Network (Corporate Office - South)","420 SEMO Drive","New Madrid",MO,63869,"New Madrid ",US,5737482404
"Southeast Missouri Health Network (Corporate Office)","6738 State Highway 77 E",Benton,MO,63869,"Scott ",US,5733132500
"Southeast Missouri Residential Services (SEMORS)","112 Plaza Drive",Sikeston,MO,63801,"Scott ",US,"(573) 472-5305"
"Southeast Missouri State University","1 University Plaza","Cape Girardeau",MO,63701,"Cape Girardeau ",US,"(573) 651-2000"
"Southeastern Idaho Public Health","1801 Alvin Ricken Drive",Pocatello,ID,83201,,US,
"Southeastern Idaho Public Health",NA,,,,,US,
"Southeastern Missouri Behavior Health","1051 Kingshighway",Rolla,MO,65401,"Phelps ",US,"(573) 466-2786"
SoutheastHEALTH,"1701 Lacey Street","Cape Girardeau",MO,63701,"Cape Girardeau ",US,"(573) 388-2684"
"SoutheastHEALTH - Mt. Auburn Road","817 South Mt. Auburn Road","Cape Girardeau",MO,63703,"Cape Girardeau ",US,"(573) 519-4500"
"SoutheastHEALTH - Women First","1111 North Mt. Auburn Road","Cape Girardeau",MO,63701,"Cape Girardeau ",US,"(573) 339-1101"
"SoutheastHEALTH Center of Stoddard County","1200 One Mile Road ",Dexter,MO,63841,"Stoddard ",US,"(573) 614-1924"
"Southern Boone County Schools","14520 South Crump Lane",Ashland,MO,65010,"Boone ",US,"(573) 657-2144"
"Southern California Alcohol & Drugs Program","11500 Paramount Blvd",Downey,CA,90241,,US,"(562) 923-4545 ext. 2221"
"Southern Illinois University Edwardsville","200 University Park Drive",Edwardsville,IL,62265,"St. Clair County",US,"(618) 650-5116"
"Southern Missouri Community Health Center","1137 Independence Drive","West Plains",MO,65775,"Howell ",US,"(417) 255-8464"
"Southern Missouri Community Health Center Thayer Clinic","US Highway 63 North (RR 3 Box 3703)",Thayer,MO,65791,"Oregon ",US,4172642990
"Southland C-9 School District","500 South Main Street",Cardwell,MO,63829,"Dunklin ",US,"(573) 654-3564"
"Southwest Baptist University","4431 South Fremont",Springfield,MO,65804,"Greene ",US,"(417) 459-0576"
"Southwest Behavioral & Health Services","1845 McCullouch Boulevard #B-1","Lake Havasu City",AZ,86403,"Mohave County",US,"(928) 453-2661 x-310"
"Southwest Behavioral & Health Services","2580 Highway 95 #119","Bullhead City",AZ,86442,"Mohave County",US,"(928) 763-7776 x-317"
"Southwest Behavioral & Health Services - Flagstaff","1515 East Cedar Avenue Suite B4",Flagstaff,AZ,86004,"Coconino County",US,"(928) 779-4550"
"Southwest Boulevard Family Health Care","340 Southwest Boulevard","Kansas City",KS,66103,"Wyandotte County",US,"(816) 548-5001"
"Southwest Missouri Area Health Education Center","901 South National Avenue PCOB 215",Springfield,MO,65897,"Greene ",US,"(417) 836-8770"
"Southwest Pediatrics","6526 Lansdowne Avenue","St. Louis",MO,63109,"St. Louis city ",US,"(314) 261-7657"
"Sparta R-III School District","217 Division Street",Sparta,MO,65753,"Christian ",US,"(417) 634-5518"
"Spaulding Rehabilitation Hospital Boston","300 1st Street",Charlestown,MA,2129,"Suffolk County",US,"(617) 952-5138"
Speakup,"Galax Business Centre Fitzwilliam Road Eastwood Trading Estate ",Rotherham,,"S65 ISL","No County",GB,"01709 720462"
"Special Education Professionals","P.O. Box 42325",Nairobi,,100,"No county",US,"254 733 267869"
"Special School District - Litzinger School","10094 Litzsinger Road",Ladue,MO,63124,"St. Louis ",US,"(636) 795-3846"
"Special School District - Parkway Early Childhood Center","14605 Clayton Road",Ballwin,MO,63011,"St. Louis ",US,"(314) 415-4985"
"Special School District - South Tech High School","12721 West Watson Road","Sunset Hills",MO,63127,"St. Louis ",US,"(314) 989-7437"
"Special School District of St. Louis County","12110 Clayton Road","Town & Country",MO,63131,"St. Louis ",US,"(314) 989-8411"
"Spectrum Health Care","1123 Wilkes Boulevard Suite 250",Columbia,MO,65201,"Boone ",US,"(573) 875-8687"
"Spirit Lake Early Childhood Tracking","416 2nd Avenue North","Fort Totten",ND,58335,"Benson County",US,"(701) 766-1299"
"Spokane R-VII School District","167 Kentling Avenue",Highlandville,MO,65669,"Christian ",US,"(417) 443-2200"
"Spokane Teaching Health Clinic","624 E Front Ave ",Spokane,WA,99202,Spokane,US,
"Springfield - Greene County Health Department ","227 East Chestnut Expressway",Springfield,MO,65802,"Greene ",US,"(417) 874-1206"
"Springfield Area Chamber of Commerce","202 South John Q. Hammons Parkway",Springfield,MO,65806,"Greene ",US,"(417) 862-5567"
"Springfield Catholic Schools","2340 South Eastgate Avenue",Springfield,MO,65809,"Greene ",US,"(417) 887-8817"
"Springfield Public Schools","1359 East St. Louis Street",Springfield,MO,65802,"Greene ",US,"(417) 523-0000"
"Springfield R-XII School District","2524 South Penzance Avenue",Springfield,MO,65809,"Greene ",US,"(417) 496-5986"
"SSM - Audrain Health & Wellness","713 East Jackson",Mexico,MO,65265,"Audrain ",US,"(573) 582-8800"
"SSM Health","10151 Corporate Square Drive","St. Louis",MO,63132,"St. Louis ",US,"(314) 989-2842"
"SSM Health - School Partnership Office","1465 South Grand Boulevard","St. Louis",MO,63104,"St. Louis city ",US,"(314) 268-7252"
"SSM Health - St. Joseph Hospital","300 First Capitol Drive","St. Charles",MO,63301,"St. Charles ",US,"(636) 949-7119"
"SSM Health - St. Louis","12312 Olive Boulevard","St. Louis",MO,63141,"St. Louis ",US,"(314) 994-7907"
"SSM Health Cardinal Glennon Children's Medical Center","1465 South Grand Boulevard","St. Louis",MO,63104,"St. Louis city ",US,"(314) 577-5600"
"SSM Health Express Clinics","1015 Corporate Square Drive","St. Louis",MO,63132,"St. Louis ",US,"(314) 989-6809"
"SSM Health Maternal & Fetal Care Center","1027 Bellevue Suite 205","Richmond Heights",MO,63117,"St. Louis ",US,"(888) 636-7642"
"SSM Health Maternal & Fetal Care Center - Fenton","1011 Bowles Avenue Suite 300",Fenton,MO,63026,"St. Louis ",US,"(636) 496-5438"
"SSM Health Medical Group - Bridgeton","12277 DePaul Drive Suite 503",Bridgeton,MO,63044,"St. Louis ",US,"(314) 344-7700"
"SSM Health Medical Group - Montgomery City","240 North Pickering Street","Montgomery City",MO,63361,"Montgomery ",US," (573) 564-2101"
"SSM Health Medical Group - St. Louis","1035 Bellevue Avenue Suite 400A","St. Louis",MO,63117,"St. Louis ",US,"(314) 833-2252"
"SSM Health Medical Group - Vandalia","204 West Washington",Vandalia,MO,63382,"Audrain ",US,"(573) 594-3800"
"SSM Health Medical Group Pediatrics - Jefferson City","3348 American Avenue","Jefferson City",MO,65109,"Cole ",US,"(573) 761-7210"
"SSM Health Outpatient Center","711 Veterans Memorial Parkway","St. Charles",MO,63303,"St. Charles ",US,"(636) 669-2241"
"SSM Health St. Clare Hospital","1015 Bowles Avenue",Fenton,MO,63026,"St. Louis ",US,"(314) 973-7987"
"SSM Health St. Mary's Hospital - Jefferson City","2505 Mission Drive","Jefferson City",MO,65109,"Cole ",US,"(573) 681-3000"
"SSM Health St. Mary's Hospital - Maternal & Fetal Medicine","1027 Bellevue Avenue Suite 205","St. Louis",MO,63117,"St. Louis ",US,"314 768-8730"
"SSM Health St. Mary's Hospital - St. Louis","1031 Bellevue Avenue","St. Louis",MO,63117,"St. Louis ",US,"(314) 768-8730"
"SSM Health Urgent Care","8820 Manchester Road",Brentwood,MO,63144,"St. Louis ",US,"(314) 963-8100"
"SSM Health WISH Center","1035 Bellevue Avenue Suite 205","Richmond Heights",MO,63117,"St. Louis ",US,"(314) 426-2211"
"SSM Medical Group - Pediatrics","3626 South Clark Suite A",Mexico,MO,65265,"Audrain ",US,"(573) 581-5011"
"St. Barnabas Hospital","4422 Third Avenue",Bronx,NY,10034,,US,
"St. Bernards Urgent Care","1312 First Street",Kennett,MO,63857,"Dunklin ",US,"(573) 559-2780"
"St. Clair County Health Center","530 Arduser Drive",Osceola,MO,64776,"St. Clair ",US,"(660) 890-5044"
"St. Clair R-XIII School District","905 Bardot Street","St. Clair",MO,63077,"Franklin ",US,"(636) 629-3500"
"St. Croix River Education District","425 South Dana Avenue","Rush City",MN,55069,"Pine County",US,"(320) 358-3616"
"St. Elizabeth R-IV School District","240 Church Street","St. Elizabeth",MO,65075,"Miller ",US,"(573) 493-5546"
"St. Francis Borgia Grade School","225 Cedar Street",Washington,MO,63090,"Franklin ",US,"(636) 239-2590"
"St. James R-I School District","122 East Scioto","St. James ",MO,65559,"Phelps ",US,"(573) 265-2300"
"St. John School","15800 Manchester Road",Ellisville,MO,63011,"St. Louis ",US,"(636) 779-2325"
"St. Joseph Catholic School","123 East Main Street",Westphalia,MO,65052,"Osage ",US,"(573) 455-2449"
"St. Joseph Health Department","904 South 10th Street","St. Joseph",MO,64503,"Buchanan ",US,"(816) 271-4684"
"St. Joseph Imperial School","6024 Old Antonia Road",Imperial,MO,63026,"Jefferson ",US,"(636) 464-9027"
"St. Joseph School District","925 Felix Street","St. Joseph",MO,64501,"Buchanan ",US,"(816) 803-4303"
"St. Joseph's Addiction Treatment & Recovery Centers",NA,,,,,US,
"St. Joseph's Addiction Treatment & Recovery Centers - Veterans Program","444 Kiwassa Lake Road","Saranac Lake",NY,12983,"Franklin County",US,"(518) 891-8387"
"St. Justin Martyr School","11914 Eddie and Park Road","St. Louis",MO,63126,"St. Louis ",US,"(314) 843-6447"
"St. Kolbe-Puckett Center for Healing Inc.","210 North 7th Street","St. Joseph",MO,64501,"Buchanan ",US,"(816) 271-3278"
"St. Louis Arc","1177 North Warson Road","St. Louis",MO,63132,"St. Louis ",US,"(314) 817-2262"
"St. Louis Cancer Care LLP","10004 Kennerly Road Suite 137A","St. Louis",MO,63126,"St. Louis ",US,"(314) 842-7301"
"St. Louis Children's Hospital","One Children's Place","St. Louis",MO,63116,"St. Louis city ",US,"(314) 454-6000"
"St. Louis Children's Hospital - Raising St. Louis","One Children's Place","St. Louis",MO,63110,"St. Louis ",US,"(314) 362-9586"
"St. Louis College of Pharmacy","4588 Parkview Place","St. Louis",MO,63110,"St. Louis ",US,
"St. Louis Community College","3140 Cast Avenue","St. Louis",MO,63106,"St. Louis city ",US,"(720) 930-5108"
"St. Louis Community College - McKelvey Road","3221 McKelvey Road",Bridgeton,MO,63044,"St. Louis ",US,"(314) 539-5346"
"St. Louis County Department of Public Health - Corrections Medicine","100 South Central Avenue",Clayton,MO,63105,"St. Louis ",US,"(314) 615-7019"
"St. Louis County Department of Public Health - Hanley","6121 North Hanley Road",Berkeley,MO,63134,"St. Louis ",US,"(314) 615-0500"
"St. Louis County Department of Public Health - Jennings Station","4000 Jennings Station Road","St. Louis",MO,63121,"St. Louis ",US,"(314) 615-9726"
"St. Louis County Department of Public Health - Lindbergh","4580 South Lindbergh Boulevard","St. Louis",MO,63127,"St. Louis ",US,"(314) 615-0400"
"St. Louis County Mental Health Court","105 South Central Avenue Courtroom 485 ",Clayton,MO,63105,"St. Louis ",US,"(314) 685-6631"
"St. Louis County Public Health Primary Care Integration","4000 Jennings Station Road","St. Louis",MO,63121,"St. Louis ",US,"(314) 679-7931"
"St. Louis Developmental Disability Treatment Centers - St. Charles Habilitation Center","22 Marr Lane","St. Charles",MO,63303,"St. Charles ",US,"(636) 926-1325"
"St. Louis Effort for AIDS","2653 Locust Avenue","St. Louis",MO,63103,"St. Louis city ",US,"(314) 256-2144"
"St. Louis Home Health","1000 Camera Avenue Suite B","St. Louis",MO,63126,"St. Louis ",US,"(314) 352-7889"
"St. Louis Integrated Health Network","1520 Market Street Suite 4034","St. Louis",MO,63103,"St. Louis ",US,"(314) 657-1566"
"St. Louis Life","929 Rolling Thunder Drive",O'Fallon,MO,63368,"St. Charles ",US,"(636) 561-1900"
"St. Louis Post-Dispatch","900 North Tucker Boulevard","St. Louis",MO,63101,"St. Louis city ",US,"(913) 340-8000"
"St. Louis Public Schools","801 North 11th Street","St. Louis",MO,63101,"St. Louis city ",US,"(314) 231-3720"
"St. Louis Suburban School Nurses' Association","12580 Durbin Drive","St. Louis",MO,63151,"St. Louis ",US,"(314) 650-7189"
"St. Luke's Children's Neuro & Behavioral Psychology","100 East Idaho Street Suite 200",Boise,ID,83712,"Ada County",US,"(208) 381-5000"
"St. Luke's Health System - Idaho","620 North River Pointe Drive F201",Boise,ID,83714,"Ada County",US,"(208) 921-0563"
"St. Luke's Home Health and Hospice","101 St. Luke's Center Drive",Chesterfield,MO,63017,"St. Louis ",US,"(314) 205-6612"
"St. Luke's Hospital Urgent Care - Weldon Spring","1051 Wolfrum Crossing","Weldon Spring",MO,63304,"St. Charles ",US,"(636) 300-0370"
"St. Mary's County Health Department","21580 Peabody St",Leonardtown,MD,20650,,US,
"St. Monica Catholic School","12132 Olive Boulevard","Creve Coeur",MO,63141,"St. Louis ",US,"(314) 434-2173"
"St. Patrick Center","800 North Tucker Boulevard","St. Louis",MO,63101,"St. Louis city ",US,"(314) 939-4106"
"St. Paul's Episcopal Day School","4041 Main Street","Kansas City",MO,64111,"Jackson ",US,"(816) 931-8614"
"St. Teresa Pediatrics","7387 Watson Road",Shrewsbury,MO,63119,"St. Louis ",US,"(314) 500-5437"
"Stanberry R-II School District","610 North Park Street",Stanberry,MO,64489,"Gentry ",US,"(660) 783-2163"
"Stanford School of Medicine","300 Pasteur Drive",Stanford,CA,94305,"Santa Clara County",US,"(650) 497-8408"
"Start Treatment & Recovery Centers",NA,,,,,US,
"State Fair Community College","3201 West 16th Street",Sedalia,MO,65301,"Pettis ",US,"(660) 596-7224"
"State of Alaska - Department of Public Health","3601 C Street Suite 322",Anchorage,AK,99503,"Alaska County",US,"(907) 334-2424"
"State of Alaska - Senior & Disabilities Services","P.O. Box 110680",Juneau,AK,99811,"Juneau County",US,"(907) 465-5810"
"State of Michigan",NA,,,,,US,
"State of Missouri","P.O. Box 570","Jefferson City",MO,65102,"Cole ",US,"(660) 651-1641"
"State of Missouri - Department of Workforce Development","3417 Division Drive","West Plains",MO,65775,"Howell ",US,"(417) 853-4424"
"State Techical College of Missouri","1 Technology Drive",Linn,MO,65051,"Osage ",US,"(573) 897-5000"
"State Technical College of Missouri","One Technology Drive",Linn,MO,65051,"Osage ",US,"(573) 897-5000"
"State University of New York - Center for Autism & Related Disabilities","1535 Western Avenue",Albany,NY,12203,"Albany County",US,"(518) 442-4845"
"State University of New York - Delhi","211 Sanford Hall",Delhi,NY,13753,"Delaware County",US,"(607) 746-4813"
"Ste Genevieve County Health Department","115 Basler Drive","Ste Genevieve",MO,63670,"Ste. Genevieve ",US,"(573) 535-1861"
"Ste. Genevieve R-II School District","375 North 5th Street ","Ste. Genevieve ",MO,63670,"Ste. Genevieve ",US,
"Ste. Genevieve R-II School District - Elementary","725 Washington Street","Ste. Genevieve",MO,63670,"Ste. Genevieve ",US,"(573) 883-4500"
"Ste. Genevieve R-II School District - High School","715 Washington Street","Ste. Genevieve",MO,63670,"Ste. Genevieve ",US,"(573) 883-4500"
"Steelville R-III School District","817 West Main Street",Steelville,MO,65565,"Crawford ",US,"(573) 775-5188"
"Steger/Givens School","701 North Rockhill Road","St. Louis",MO,63119,"St. Louis ",US,"(314) 961-3982"
"Stephens College","1200 East Broadway",Columbia,MO,65215,"Boone ",US,"(573) 441-5107"
"Sterling Dental Care","3408 Buttonwood Drive Suite A",Columbia,MO,65201,"Boone ",US,"(573) 256-7891"
"Steward Health Choice Arizona","1300 South Yale Street",Flagstaff,AZ,86001,"Coconino County",US,"(928) 214-2206"
"Stockton R-I School District","906 South Street",Stockton,MO,65785,"Cedar ",US,"(417) 276-5143"
"Stone County Recovery Center","27 Tower Lane","Reeds Spring",MO,65737,"Stone ",US,"(417) 230-7628"
"Stormant Vail Behavioral Health","3707 Southwest Sixth Avenue",Topeka,KS,66606,"Shawnee County",US,"(785) 270-4600"
"Strafford R-VI School District","211 West McCabe",Strafford,MO,65757,"Greene ",US,"(417) 736-7000"
"Substance Abuse & Mental Health Services Administration","601 East 12th Street Suite N250","Kansas City",MO,64106,"Jackson ",US,"(816) 426-4291"
"Suburban Pediatrics ","456 North New Ballas Suite 304","St. Louis",MO,63141,"St. Louis ",US,"(314) 724-0142"
"Sullivan County Hospital","630 West 3rd Street",Milan,MO,63556,"Sullivan ",US,"(660) 265-4212"
"Sullivan School District","138 Taylor Street",Sullivan,MO,63080,"Franklin ",US,"(573) 468-5171"
"Sunflower Health Plan","8325 Lenexa Drive",Lenexa,KS,66214,"Johnson County",US,"(877) 644-4623"
"Sunnyhill Inc.","14 Soccer Park Road",Fenton,MO,63026,"St. Louis ",US,"(314) 845-3900"
"Sunrise R-IX School District","4485 Sunrise School Road",Desoto,MO,63020,"Jefferson ",US,"(636) 586-6660"
"Susan B. Anthony Center","1633 Poinciana Dr","Pembroke Pines",FL,33025,,US,"(954) 733-6068 ext. 2008"
"Suzanne's Mental Health & Wellness","5310 South Rock Quarry Road",Columbia,MO,65201,"Boone ",US,"(573) 268-4203"
"Swann Dermatology","3850 South National Avenue Suite 705",Springfield,MO,65807,"Greene ",US,"(573) 808-4900"
"Sweet Springs R-VII School District","600 East Marshall Street","Sweet Springs",MO,65351,"Saline ",US,"(660) 335-6348"
"Swope Health Belton","206 E. North Avenue",Belton,MO,64012,"Cass ",US,8165995170
"Swope Health East","17844 E. 23rd Street South",Independence,MO,64057,"Jackson ",US,8169221000
"Swope Health Maple Woods","3100 NE 83rd Street","Kansas City",MO,64119,"Jackson ",US,8163213230
"Swope Health Northland","2906 NW Vivion Road",Riverside,MO,64150,"Platte ",US,8166272050
"Swope Health Services","3801 Blue Parkway","Kansas City",MO,64130,"Jackson ",US,"(816) 599-5534"
"Swope Health Services - Blue Ridge Boulevard","8800 Blue Ridge Boulevard","Kansas City",MO,64138,"Jackson ",US,"(816) 321-3201"
"Swope Health Services - Independence","11320 East Truman Road",Independence,MO,64050,"Jackson ",US,"(816) 599-5214"
"Swope Mobile","3801 Blue Parkway","Kansas City",MO,64130,"Jackson ",US,8169235800
"Synergy Services","2001 Northeast Parvin Road","Kansas City",MO,64116,"Clay ",US,"(918) 500-6024"
"Table Rock Family Medicine and Obstetrics","800 East Highway 248 Suite F",Branson,MO,65616,"Taney ",US,"(417) 230-6053"
